"District","District Code","Free/Reduced Price Meal Eligibility","Count","%"
"Granby School District","=""0560011""","Eligible for Free or Reduced-Price Meals",29,14.5
"Greenwich School District","=""0570011""","Eligible for Free or Reduced-Price Meals",62,4.3
"Griswold School District","=""0580011""","Eligible for Free or Reduced-Price Meals",71,9.1
"Groton School District","=""0590011""","Eligible for Free or Reduced-Price Meals",249,12.2
"Guilford School District","=""0600011""","Eligible for Free or Reduced-Price Meals",17,4.9
"Hamden School District","=""0620011""","Eligible for Free or Reduced-Price Meals",316,12.9
"Hampton School District","=""0630011""","Eligible for Free or Reduced-Price Meals","*","*"
"Hartford School District","=""0640011""","Eligible for Free or Reduced-Price Meals",2774,16.2
"Hartland School District","=""0650011""","Eligible for Free or Reduced-Price Meals","*","*"
"Hebron School District","=""0670011""","Eligible for Free or Reduced-Price Meals","*","*"
"Kent School District","=""0680011""","Eligible for Free or Reduced-Price Meals","N/A","N/A"
"Killingly School District","=""0690011""","Eligible for Free or Reduced-Price Meals",112,9.2
"Lebanon School District","=""0710011""","Eligible for Free or Reduced-Price Meals",6,3.0
"Ledyard School District","=""0720011""","Eligible for Free or Reduced-Price Meals",46,8.4
"Lisbon School District","=""0730011""","Eligible for Free or Reduced-Price Meals","*","*"
"Litchfield School District","=""0740011""","Eligible for Free or Reduced-Price Meals",13,9.0
"Madison School District","=""0760011""","Eligible for Free or Reduced-Price Meals",6,4.2
"Manchester School District","=""0770011""","Eligible for Free or Reduced-Price Meals",460,12.5
"Mansfield School District","=""0780011""","Eligible for Free or Reduced-Price Meals",8,2.4
"Marlborough School District","=""0790011""","Eligible for Free or Reduced-Price Meals","N/A","N/A"
"Meriden School District","=""0800011""","Eligible for Free or Reduced-Price Meals",542,9.6
"Middletown School District","=""0830011""","Eligible for Free or Reduced-Price Meals",297,13.7
"Milford School District","=""0840011""","Eligible for Free or Reduced-Price Meals",152,11.6
"Monroe School District","=""0850011""","Eligible for Free or Reduced-Price Meals",12,4.3
"Montville School District","=""0860011""","Eligible for Free or Reduced-Price Meals",58,6.4
"Naugatuck School District","=""0880011""","Eligible for Free or Reduced-Price Meals",225,10.1
"New Britain School District","=""0890011""","Eligible for Free or Reduced-Price Meals",1198,15.0
"New Fairfield School District","=""0910011""","Eligible for Free or Reduced-Price Meals",14,6.7
"New Hartford School District","=""0920011""","Eligible for Free or Reduced-Price Meals","N/A","N/A"
"New Haven School District","=""0930011""","Eligible for Free or Reduced-Price Meals",1316,10.5
"Newington School District","=""0940011""","Eligible for Free or Reduced-Price Meals",93,9.5
"New London School District","=""0950011""","Eligible for Free or Reduced-Price Meals",473,18.7
"New Milford School District","=""0960011""","Eligible for Free or Reduced-Price Meals",91,9.3
"Newtown School District","=""0970011""","Eligible for Free or Reduced-Price Meals",26,6.9
"Norfolk School District","=""0980011""","Eligible for Free or Reduced-Price Meals","*","*"
"North Branford School District","=""0990011""","Eligible for Free or Reduced-Price Meals",34,9.8
"North Canaan School District","=""1000011""","Eligible for Free or Reduced-Price Meals","N/A","N/A"
"North Haven School District","=""1010011""","Eligible for Free or Reduced-Price Meals",41,8.5
"North Stonington School District","=""1020011""","Eligible for Free or Reduced-Price Meals",12,9.2
"Norwalk School District","=""1030011""","Eligible for Free or Reduced-Price Meals",468,7.7
"Norwich School District","=""1040011""","Eligible for Free or Reduced-Price Meals",252,8.6
"Old Saybrook School District","=""1060011""","Eligible for Free or Reduced-Price Meals",11,4.0
"Orange School District","=""1070011""","Eligible for Free or Reduced-Price Meals","N/A","N/A"
"Oxford School District","=""1080011""","Eligible for Free or Reduced-Price Meals",7,3.5
"Plainfield School District","=""1090011""","Eligible for Free or Reduced-Price Meals",149,12.5
"Plainville School District","=""1100011""","Eligible for Free or Reduced-Price Meals",82,9.9
"Plymouth School District","=""1110011""","Eligible for Free or Reduced-Price Meals",51,9.8
"Pomfret School District","=""1120011""","Eligible for Free or Reduced-Price Meals",6,7.5
"Portland School District","=""1130011""","Eligible for Free or Reduced-Price Meals",24,8.4
"Preston School District","=""1140011""","Eligible for Free or Reduced-Price Meals","*","*"
"Putnam School District","=""1160011""","Eligible for Free or Reduced-Price Meals",68,9.0
"Redding School District","=""1170011""","Eligible for Free or Reduced-Price Meals","*","*"
"Ridgefield School District","=""1180011""","Eligible for Free or Reduced-Price Meals","*","*"
"Rocky Hill School District","=""1190011""","Eligible for Free or Reduced-Price Meals",16,4.0
"Salem School District","=""1210011""","Eligible for Free or Reduced-Price Meals","*","*"
"Salisbury School District","=""1220011""","Eligible for Free or Reduced-Price Meals","N/A","N/A"
"Scotland School District","=""1230011""","Eligible for Free or Reduced-Price Meals","*","*"
"Seymour School District","=""1240011""","Eligible for Free or Reduced-Price Meals",84,12.0
"Sharon School District","=""1250011""","Eligible for Free or Reduced-Price Meals","N/A","N/A"
"Shelton School District","=""1260011""","Eligible for Free or Reduced-Price Meals",114,9.8
"Sherman School District","=""1270011""","Eligible for Free or Reduced-Price Meals","*","*"
"Simsbury School District","=""1280011""","Eligible for Free or Reduced-Price Meals",32,7.8
"Somers School District","=""1290011""","Eligible for Free or Reduced-Price Meals",8,7.1
"Southington School District","=""1310011""","Eligible for Free or Reduced-Price Meals",82,7.4
"South Windsor School District","=""1320011""","Eligible for Free or Reduced-Price Meals",63,10.5
"Sprague School District","=""1330011""","Eligible for Free or Reduced-Price Meals",22,13.3
"Stafford School District","=""1340011""","Eligible for Free or Reduced-Price Meals",50,8.5
"Stamford School District","=""1350011""","Eligible for Free or Reduced-Price Meals",478,5.5
"Sterling School District","=""1360011""","Eligible for Free or Reduced-Price Meals",6,3.7
"Stonington School District","=""1370011""","Eligible for Free or Reduced-Price Meals",53,11.6
"Stratford School District","=""1380011""","Eligible for Free or Reduced-Price Meals",316,9.7
"Suffield School District","=""1390011""","Eligible for Free or Reduced-Price Meals",43,14.1
"Thomaston School District","=""1400011""","Eligible for Free or Reduced-Price Meals",21,9.6
"Thompson School District","=""1410011""","Eligible for Free or Reduced-Price Meals",44,12.5
"Tolland School District","=""1420011""","Eligible for Free or Reduced-Price Meals",18,7.4
"Torrington School District","=""1430011""","Eligible for Free or Reduced-Price Meals",229,9.9
"Trumbull School District","=""1440011""","Eligible for Free or Reduced-Price Meals",19,2.7
"Union School District","=""1450011""","Eligible for Free or Reduced-Price Meals","N/A","*"
"Vernon School District","=""1460011""","Eligible for Free or Reduced-Price Meals",229,15.4
"Voluntown School District","=""1470011""","Eligible for Free or Reduced-Price Meals","*","*"
"Wallingford School District","=""1480011""","Eligible for Free or Reduced-Price Meals",98,7.7
"Waterbury School District","=""1510011""","Eligible for Free or Reduced-Price Meals",2892,19.7
"Waterford School District","=""1520011""","Eligible for Free or Reduced-Price Meals",72,13.0
"Watertown School District","=""1530011""","Eligible for Free or Reduced-Price Meals",98,12.9
"Westbrook School District","=""1540011""","Eligible for Free or Reduced-Price Meals","*","*"
"West Hartford School District","=""1550011""","Eligible for Free or Reduced-Price Meals",223,10.3
"West Haven School District","=""1560011""","Eligible for Free or Reduced-Price Meals",356,8.9
"Weston School District","=""1570011""","Eligible for Free or Reduced-Price Meals","*","*"
"Westport School District","=""1580011""","Eligible for Free or Reduced-Price Meals",13,5.2
"Wethersfield School District","=""1590011""","Eligible for Free or Reduced-Price Meals",79,10.7
"Willington School District","=""1600011""","Eligible for Free or Reduced-Price Meals","*","*"
"Wilton School District","=""1610011""","Eligible for Free or Reduced-Price Meals","*","*"
"Winchester School District","=""1620011""","Eligible for Free or Reduced-Price Meals",8,2.4
"Windham School District","=""1630011""","Eligible for Free or Reduced-Price Meals",419,15.4
"Windsor School District","=""1640011""","Eligible for Free or Reduced-Price Meals",251,20.3
"Windsor Locks School District","=""1650011""","Eligible for Free or Reduced-Price Meals",81,12.0
"Wolcott School District","=""1660011""","Eligible for Free or Reduced-Price Meals",54,9.8
"Woodbridge School District","=""1670011""","Eligible for Free or Reduced-Price Meals","N/A","N/A"
"Woodstock School District","=""1690011""","Eligible for Free or Reduced-Price Meals","*","*"
"Regional School District 01","=""2010012""","Eligible for Free or Reduced-Price Meals",18,17.5
"Regional School District 04","=""2040012""","Eligible for Free or Reduced-Price Meals",7,6.2
"Regional School District 05","=""2050012""","Eligible for Free or Reduced-Price Meals",11,8.9
"Regional School District 06","=""2060012""","Eligible for Free or Reduced-Price Meals",15,10.0
"Regional School District 07","=""2070012""","Eligible for Free or Reduced-Price Meals",17,15.0
"Regional School District 08","=""2080012""","Eligible for Free or Reduced-Price Meals",18,13.6
"Regional School District 09","=""2090012""","Eligible for Free or Reduced-Price Meals","*","*"
"Regional School District 10","=""2100012""","Eligible for Free or Reduced-Price Meals",8,4.5
"Regional School District 11","=""2110012""","Eligible for Free or Reduced-Price Meals",11,13.4
"Regional School District 12","=""2120012""","Eligible for Free or Reduced-Price Meals",7,11.1
"Regional School District 13","=""2130012""","Eligible for Free or Reduced-Price Meals",7,4.6
"Regional School District 14","=""2140012""","Eligible for Free or Reduced-Price Meals",12,5.2
"Regional School District 15","=""2150012""","Eligible for Free or Reduced-Price Meals",23,7.5
"Regional School District 16","=""2160012""","Eligible for Free or Reduced-Price Meals",30,8.1
"Regional School District 17","=""2170012""","Eligible for Free or Reduced-Price Meals",16,8.3
"Regional School District 18","=""2180012""","Eligible for Free or Reduced-Price Meals","*","*"
"Regional School District 19","=""2190012""","Eligible for Free or Reduced-Price Meals",28,12.3
"Capitol Region Education Council","=""2410014""","Eligible for Free or Reduced-Price Meals",611,14.4
"Education Connection","=""2420014""","Eligible for Free or Reduced-Price Meals",10,5.4
"Cooperative Educational Services","=""2430014""","Eligible for Free or Reduced-Price Meals",29,8.5
"Area Cooperative Educational Services","=""2440014""","Eligible for Free or Reduced-Price Meals",225,15.9
"Learn","=""2450014""","Eligible for Free or Reduced-Price Meals",106,8.0
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Eligible for Free or Reduced-Price Meals",37,18.8
"Jumoke Academy District","=""2610013""","Eligible for Free or Reduced-Price Meals",60,11.7
"Odyssey Community School District","=""2630013""","Eligible for Free or Reduced-Price Meals","*","*"
"Integrated Day Charter School District","=""2640013""","Eligible for Free or Reduced-Price Meals",6,5.0
"Interdistrict School for Arts and Comm District","=""2650013""","Eligible for Free or Reduced-Price Meals",26,13.9
"Common Ground High School District","=""2680013""","Eligible for Free or Reduced-Price Meals",8,9.2
"The Bridge Academy District","=""2690013""","Eligible for Free or Reduced-Price Meals",48,20.5
"Side By Side Charter School District","=""2700013""","Eligible for Free or Reduced-Price Meals","*","*"
"Explorations District","=""2720013""","Eligible for Free or Reduced-Price Meals",9,22.5
"Trailblazers Academy District","=""2780013""","Eligible for Free or Reduced-Price Meals",37,29.6
"Amistad Academy District","=""2790013""","Eligible for Free or Reduced-Price Meals",239,27.3
"New Beginnings Inc., Family Academy District","=""2800013""","Eligible for Free or Reduced-Price Meals",68,16.6
"Stamford Academy District","=""2820013""","Eligible for Free or Reduced-Price Meals",32,21.8
"Park City Prep Charter School District","=""2830013""","Eligible for Free or Reduced-Price Meals",54,19.7
"Bridgeport Achievement First District","=""2850013""","Eligible for Free or Reduced-Price Meals",196,24.3
"Highville Charter School District","=""2860013""","Eligible for Free or Reduced-Price Meals",61,23.5
"Achievement First Hartford Academy Inc. District","=""2880013""","Eligible for Free or Reduced-Price Meals",241,23.6
"Elm City College Preparatory School District","=""2890013""","Eligible for Free or Reduced-Price Meals",94,16.7
"Brass City Charter School District","=""2900013""","Eligible for Free or Reduced-Price Meals",8,6.6
"Elm City Montessori School District","=""2910013""","Eligible for Free or Reduced-Price Meals","N/A","*"
"Path Academy District","=""2930013""","Eligible for Free or Reduced-Price Meals",18,14.6
"Great Oaks Charter School District","=""2940013""","Eligible for Free or Reduced-Price Meals",65,36.3
"Booker T. Washington Academy District","=""2950013""","Eligible for Free or Reduced-Price Meals",20,13.2
"Stamford Charter School for Excellence District","=""2960013""","Eligible for Free or Reduced-Price Meals","*","*"
"Capital Preparatory Harbor School Inc. District","=""2970013""","Eligible for Free or Reduced-Price Meals",37,28.5
"Unified School District #1","=""3360015""","Eligible for Free or Reduced-Price Meals","N/A","N/A"
"Department of Mental Health and Addiction Services","=""3370015""","Eligible for Free or Reduced-Price Meals","N/A","*"
"Unified School District #2","=""3470015""","Eligible for Free or Reduced-Price Meals",58,33.0
"Connecticut Technical High School System","=""9000016""","Eligible for Free or Reduced-Price Meals",876,16.6
"Norwich Free Academy District","=""9010022""","Eligible for Free or Reduced-Price Meals",215,17.6
"The Gilbert School District","=""9020022""","Eligible for Free or Reduced-Price Meals",56,22.4
"Woodstock Academy District","=""9030022""","Eligible for Free or Reduced-Price Meals",6,24.0

