"District","District Code","Free/Reduced Price Meal Eligibility","Count","%"
"Regional School District 13","=""2130012""","Eligible for Free or Reduced-Price Meals","*","*"
"Regional School District 14","=""2140012""","Eligible for Free or Reduced-Price Meals",16,8.4
"Regional School District 15","=""2150012""","Eligible for Free or Reduced-Price Meals",21,10.4
"Regional School District 16","=""2160012""","Eligible for Free or Reduced-Price Meals",41,12.7
"Regional School District 17","=""2170012""","Eligible for Free or Reduced-Price Meals",18,10.9
"Regional School District 18","=""2180012""","Eligible for Free or Reduced-Price Meals",10,7.8
"Regional School District 19","=""2190012""","Eligible for Free or Reduced-Price Meals",28,16.9
"Ridgefield School District","=""1180011""","Eligible for Free or Reduced-Price Meals",7,6.4
"Rocky Hill School District","=""1190011""","Eligible for Free or Reduced-Price Meals",33,12.2
"Salem School District","=""1210011""","Eligible for Free or Reduced-Price Meals","*","*"
"Salisbury School District","=""1220011""","Eligible for Free or Reduced-Price Meals","*","*"
"Scotland School District","=""1230011""","Eligible for Free or Reduced-Price Meals","*","*"
"Seymour School District","=""1240011""","Eligible for Free or Reduced-Price Meals",101,17.5
"Sharon School District","=""1250011""","Eligible for Free or Reduced-Price Meals","N/A","N/A"
"Shelton School District","=""1260011""","Eligible for Free or Reduced-Price Meals",80,9.1
"Sherman School District","=""1270011""","Eligible for Free or Reduced-Price Meals","*","*"
"Side By Side Charter School District","=""2700013""","Eligible for Free or Reduced-Price Meals",9,8.6
"Simsbury School District","=""1280011""","Eligible for Free or Reduced-Price Meals",44,13.2
"Somers School District","=""1290011""","Eligible for Free or Reduced-Price Meals",13,13.3
"South Windsor School District","=""1320011""","Eligible for Free or Reduced-Price Meals",42,9.9
"Southington School District","=""1310011""","Eligible for Free or Reduced-Price Meals",112,16.0
"Sprague School District","=""1330011""","Eligible for Free or Reduced-Price Meals",10,7.8
"Stafford School District","=""1340011""","Eligible for Free or Reduced-Price Meals",81,16.7
"Stamford Academy District","=""2820013""","Eligible for Free or Reduced-Price Meals","N/A","N/A"
"Stamford School District","=""1350011""","Eligible for Free or Reduced-Price Meals",404,5.6
"Sterling School District","=""1360011""","Eligible for Free or Reduced-Price Meals",19,10.7
"Stonington School District","=""1370011""","Eligible for Free or Reduced-Price Meals",27,10.5
"Stratford School District","=""1380011""","Eligible for Free or Reduced-Price Meals",392,14.5
"Suffield School District","=""1390011""","Eligible for Free or Reduced-Price Meals",35,17.6
"The Bridge Academy District","=""2690013""","Eligible for Free or Reduced-Price Meals",79,38.9
"The Gilbert School District","=""9020022""","Eligible for Free or Reduced-Price Meals",31,24.8
"Thomaston School District","=""1400011""","Eligible for Free or Reduced-Price Meals",27,12.0
"Thompson School District","=""1410011""","Eligible for Free or Reduced-Price Meals",44,11.0
"Tolland School District","=""1420011""","Eligible for Free or Reduced-Price Meals",19,14.7
"Torrington School District","=""1430011""","Eligible for Free or Reduced-Price Meals",229,12.4
"Trailblazers Academy District","=""2780013""","Eligible for Free or Reduced-Price Meals","*","*"
"Trumbull School District","=""1440011""","Eligible for Free or Reduced-Price Meals",24,6.1
"Unified School District #1","=""3360015""","Eligible for Free or Reduced-Price Meals","N/A","N/A"
"Unified School District #2","=""3470015""","Eligible for Free or Reduced-Price Meals",71,21.8
"Union School District","=""1450011""","Eligible for Free or Reduced-Price Meals","N/A","*"
"Vernon School District","=""1460011""","Eligible for Free or Reduced-Price Meals",213,16.4
"Voluntown School District","=""1470011""","Eligible for Free or Reduced-Price Meals",6,8.2
"Wallingford School District","=""1480011""","Eligible for Free or Reduced-Price Meals",105,13.2
"Waterbury School District","=""1510011""","Eligible for Free or Reduced-Price Meals",3809,25.1
"Waterford School District","=""1520011""","Eligible for Free or Reduced-Price Meals",51,13.1
"Watertown School District","=""1530011""","Eligible for Free or Reduced-Price Meals",89,15.7
"West Hartford School District","=""1550011""","Eligible for Free or Reduced-Price Meals",265,13.7
"West Haven School District","=""1560011""","Eligible for Free or Reduced-Price Meals",595,16.2
"Westbrook School District","=""1540011""","Eligible for Free or Reduced-Price Meals",10,9.2
"Weston School District","=""1570011""","Eligible for Free or Reduced-Price Meals","*","*"
"Westport School District","=""1580011""","Eligible for Free or Reduced-Price Meals",15,8.8
"Wethersfield School District","=""1590011""","Eligible for Free or Reduced-Price Meals",53,8.2
"Willington School District","=""1600011""","Eligible for Free or Reduced-Price Meals",13,15.7
"Wilton School District","=""1610011""","Eligible for Free or Reduced-Price Meals","*","*"
"Winchester School District","=""1620011""","Eligible for Free or Reduced-Price Meals",21,4.7
"Windham School District","=""1630011""","Eligible for Free or Reduced-Price Meals",495,18.9
"Windsor Locks School District","=""1650011""","Eligible for Free or Reduced-Price Meals",78,13.1
"Windsor School District","=""1640011""","Eligible for Free or Reduced-Price Meals",252,22.0
"Wolcott School District","=""1660011""","Eligible for Free or Reduced-Price Meals",57,10.4
"Woodbridge School District","=""1670011""","Eligible for Free or Reduced-Price Meals","N/A","N/A"
"Woodstock Academy District","=""9030022""","Eligible for Free or Reduced-Price Meals",18,18.9
"Woodstock School District","=""1690011""","Eligible for Free or Reduced-Price Meals","*","*"

