"District","District Code","Free/Reduced Price Meal Eligibility","Count","%"
"New Britain School District","=""0890011""","Eligible for Free or Reduced-Price Meals",1783,21.3
"New Fairfield School District","=""0910011""","Eligible for Free or Reduced-Price Meals",23,7.7
"New Hartford School District","=""0920011""","Eligible for Free or Reduced-Price Meals","*","*"
"New Haven School District","=""0930011""","Eligible for Free or Reduced-Price Meals",1229,8.5
"Newington School District","=""0940011""","Eligible for Free or Reduced-Price Meals",122,12.5
"New London School District","=""0950011""","Eligible for Free or Reduced-Price Meals",535,21.7
"New Milford School District","=""0960011""","Eligible for Free or Reduced-Price Meals",104,10.9
"Newtown School District","=""0970011""","Eligible for Free or Reduced-Price Meals",19,5.7
"Norfolk School District","=""0980011""","Eligible for Free or Reduced-Price Meals","N/A","N/A"
"North Branford School District","=""0990011""","Eligible for Free or Reduced-Price Meals",46,13.6
"North Canaan School District","=""1000011""","Eligible for Free or Reduced-Price Meals","*","*"
"North Haven School District","=""1010011""","Eligible for Free or Reduced-Price Meals",44,9.2
"North Stonington School District","=""1020011""","Eligible for Free or Reduced-Price Meals",13,8.1
"Norwalk School District","=""1030011""","Eligible for Free or Reduced-Price Meals",518,9.0
"Norwich School District","=""1040011""","Eligible for Free or Reduced-Price Meals",240,9.4
"Old Saybrook School District","=""1060011""","Eligible for Free or Reduced-Price Meals",12,4.4
"Orange School District","=""1070011""","Eligible for Free or Reduced-Price Meals","*","*"
"Oxford School District","=""1080011""","Eligible for Free or Reduced-Price Meals",7,4.5
"Plainfield School District","=""1090011""","Eligible for Free or Reduced-Price Meals",110,9.5
"Plainville School District","=""1100011""","Eligible for Free or Reduced-Price Meals",53,7.2
"Plymouth School District","=""1110011""","Eligible for Free or Reduced-Price Meals",29,6.6
"Pomfret School District","=""1120011""","Eligible for Free or Reduced-Price Meals","N/A","N/A"
"Portland School District","=""1130011""","Eligible for Free or Reduced-Price Meals",27,10.1
"Preston School District","=""1140011""","Eligible for Free or Reduced-Price Meals","*","*"
"Putnam School District","=""1160011""","Eligible for Free or Reduced-Price Meals",66,8.1
"Redding School District","=""1170011""","Eligible for Free or Reduced-Price Meals","*","*"
"Ridgefield School District","=""1180011""","Eligible for Free or Reduced-Price Meals",9,4.9
"Rocky Hill School District","=""1190011""","Eligible for Free or Reduced-Price Meals",9,2.7
"Salem School District","=""1210011""","Eligible for Free or Reduced-Price Meals","*","*"
"Salisbury School District","=""1220011""","Eligible for Free or Reduced-Price Meals","*","*"
"Scotland School District","=""1230011""","Eligible for Free or Reduced-Price Meals","*","*"
"Seymour School District","=""1240011""","Eligible for Free or Reduced-Price Meals",97,14.9
"Sharon School District","=""1250011""","Eligible for Free or Reduced-Price Meals","*","*"
"Shelton School District","=""1260011""","Eligible for Free or Reduced-Price Meals",108,9.7
"Sherman School District","=""1270011""","Eligible for Free or Reduced-Price Meals","*","*"
"Simsbury School District","=""1280011""","Eligible for Free or Reduced-Price Meals",28,7.0
"Somers School District","=""1290011""","Eligible for Free or Reduced-Price Meals",12,9.1
"Southington School District","=""1310011""","Eligible for Free or Reduced-Price Meals",93,8.4
"South Windsor School District","=""1320011""","Eligible for Free or Reduced-Price Meals",53,9.9
"Sprague School District","=""1330011""","Eligible for Free or Reduced-Price Meals",20,11.5
"Stafford School District","=""1340011""","Eligible for Free or Reduced-Price Meals",37,7.6
"Stamford School District","=""1350011""","Eligible for Free or Reduced-Price Meals",365,4.5
"Sterling School District","=""1360011""","Eligible for Free or Reduced-Price Meals",20,11.4
"Stonington School District","=""1370011""","Eligible for Free or Reduced-Price Meals",62,12.0
"Stratford School District","=""1380011""","Eligible for Free or Reduced-Price Meals",323,9.7
"Suffield School District","=""1390011""","Eligible for Free or Reduced-Price Meals",22,7.8
"Thomaston School District","=""1400011""","Eligible for Free or Reduced-Price Meals",20,8.5
"Thompson School District","=""1410011""","Eligible for Free or Reduced-Price Meals",37,10.5
"Tolland School District","=""1420011""","Eligible for Free or Reduced-Price Meals",12,5.7
"Torrington School District","=""1430011""","Eligible for Free or Reduced-Price Meals",270,12.1
"Trumbull School District","=""1440011""","Eligible for Free or Reduced-Price Meals",23,4.7
"Union School District","=""1450011""","Eligible for Free or Reduced-Price Meals","N/A","*"
"Vernon School District","=""1460011""","Eligible for Free or Reduced-Price Meals",206,14.0
"Voluntown School District","=""1470011""","Eligible for Free or Reduced-Price Meals","*","*"
"Wallingford School District","=""1480011""","Eligible for Free or Reduced-Price Meals",114,9.3
"Waterbury School District","=""1510011""","Eligible for Free or Reduced-Price Meals",3358,21.1
"Waterford School District","=""1520011""","Eligible for Free or Reduced-Price Meals",52,11.2
"Watertown School District","=""1530011""","Eligible for Free or Reduced-Price Meals",122,17.3
"Westbrook School District","=""1540011""","Eligible for Free or Reduced-Price Meals",7,6.0
"West Hartford School District","=""1550011""","Eligible for Free or Reduced-Price Meals",202,9.6
"West Haven School District","=""1560011""","Eligible for Free or Reduced-Price Meals",367,9.7
"Weston School District","=""1570011""","Eligible for Free or Reduced-Price Meals","*","*"
"Westport School District","=""1580011""","Eligible for Free or Reduced-Price Meals",18,8.5
"Wethersfield School District","=""1590011""","Eligible for Free or Reduced-Price Meals",61,8.3
"Willington School District","=""1600011""","Eligible for Free or Reduced-Price Meals","*","*"
"Wilton School District","=""1610011""","Eligible for Free or Reduced-Price Meals","*","*"
"Winchester School District","=""1620011""","Eligible for Free or Reduced-Price Meals",13,3.7
"Windham School District","=""1630011""","Eligible for Free or Reduced-Price Meals",482,19.4
"Windsor School District","=""1640011""","Eligible for Free or Reduced-Price Meals",231,19.2
"Windsor Locks School District","=""1650011""","Eligible for Free or Reduced-Price Meals",75,11.5
"Wolcott School District","=""1660011""","Eligible for Free or Reduced-Price Meals",64,12.5
"Woodbridge School District","=""1670011""","Eligible for Free or Reduced-Price Meals","*","*"
"Woodstock School District","=""1690011""","Eligible for Free or Reduced-Price Meals","*","*"
"Regional School District 01","=""2010012""","Eligible for Free or Reduced-Price Meals",11,12.9
"Regional School District 04","=""2040012""","Eligible for Free or Reduced-Price Meals",12,10.4
"Regional School District 05","=""2050012""","Eligible for Free or Reduced-Price Meals",8,6.7
"Regional School District 06","=""2060012""","Eligible for Free or Reduced-Price Meals",21,13.6
"Regional School District 07","=""2070012""","Eligible for Free or Reduced-Price Meals",16,12.8
"Regional School District 08","=""2080012""","Eligible for Free or Reduced-Price Meals",25,15.6
"Regional School District 09","=""2090012""","Eligible for Free or Reduced-Price Meals","*","*"
"Regional School District 10","=""2100012""","Eligible for Free or Reduced-Price Meals",17,8.5
"Regional School District 11","=""2110012""","Eligible for Free or Reduced-Price Meals",15,14.7
"Regional School District 12","=""2120012""","Eligible for Free or Reduced-Price Meals",12,14.8
"Regional School District 13","=""2130012""","Eligible for Free or Reduced-Price Meals","*","*"
"Regional School District 14","=""2140012""","Eligible for Free or Reduced-Price Meals",10,4.3
"Regional School District 15","=""2150012""","Eligible for Free or Reduced-Price Meals",14,5.6
"Regional School District 16","=""2160012""","Eligible for Free or Reduced-Price Meals",33,10.2
"Regional School District 17","=""2170012""","Eligible for Free or Reduced-Price Meals",20,8.4
"Regional School District 18","=""2180012""","Eligible for Free or Reduced-Price Meals","*","*"
"Regional School District 19","=""2190012""","Eligible for Free or Reduced-Price Meals",29,14.6
"Capitol Region Education Council","=""2410014""","Eligible for Free or Reduced-Price Meals",460,13.5
"Education Connection","=""2420014""","Eligible for Free or Reduced-Price Meals",11,11.6
"Cooperative Educational Services","=""2430014""","Eligible for Free or Reduced-Price Meals",23,9.3
"Area Cooperative Educational Services","=""2440014""","Eligible for Free or Reduced-Price Meals",227,19.1
"Learn","=""2450014""","Eligible for Free or Reduced-Price Meals",65,7.1
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Eligible for Free or Reduced-Price Meals","N/A","N/A"
"Jumoke Academy District","=""2610013""","Eligible for Free or Reduced-Price Meals",50,11.3
"Odyssey Community School District","=""2630013""","Eligible for Free or Reduced-Price Meals",12,10.2
"Integrated Day Charter School District","=""2640013""","Eligible for Free or Reduced-Price Meals",16,13.3
"Interdistrict School for Arts and Comm District","=""2650013""","Eligible for Free or Reduced-Price Meals",27,17.4
"Common Ground High School District","=""2680013""","Eligible for Free or Reduced-Price Meals",14,14.7
"The Bridge Academy District","=""2690013""","Eligible for Free or Reduced-Price Meals",30,14.0
"Side By Side Charter School District","=""2700013""","Eligible for Free or Reduced-Price Meals",8,6.8
"Explorations District","=""2720013""","Eligible for Free or Reduced-Price Meals",9,33.3
"Trailblazers Academy District","=""2780013""","Eligible for Free or Reduced-Price Meals",13,9.9
"Amistad Academy District","=""2790013""","Eligible for Free or Reduced-Price Meals",283,36.2
"New Beginnings Inc., Family Academy District","=""2800013""","Eligible for Free or Reduced-Price Meals",78,23.8
"Stamford Academy District","=""2820013""","Eligible for Free or Reduced-Price Meals",52,41.3
"Park City Prep Charter School District","=""2830013""","Eligible for Free or Reduced-Price Meals",29,14.7
"Bridgeport Achievement First District","=""2850013""","Eligible for Free or Reduced-Price Meals",198,30.8
"Highville Charter School District","=""2860013""","Eligible for Free or Reduced-Price Meals",19,7.5
"Achievement First Hartford Academy Inc. District","=""2880013""","Eligible for Free or Reduced-Price Meals",252,29.6
"Elm City College Preparatory School District","=""2890013""","Eligible for Free or Reduced-Price Meals",145,29.7
"Brass City Charter School District","=""2900013""","Eligible for Free or Reduced-Price Meals","N/A","N/A"
"Unified School District #1","=""3360015""","Eligible for Free or Reduced-Price Meals","N/A","N/A"
"Department of Mental Health and Addiction Services","=""3370015""","Eligible for Free or Reduced-Price Meals","N/A","*"
"Unified School District #2","=""3470015""","Eligible for Free or Reduced-Price Meals",75,25.1
"Connecticut Technical High School System","=""9000016""","Eligible for Free or Reduced-Price Meals",989,18.2
"Norwich Free Academy District","=""9010022""","Eligible for Free or Reduced-Price Meals",197,23.1
"The Gilbert School District","=""9020022""","Eligible for Free or Reduced-Price Meals",96,38.9
"Woodstock Academy District","=""9030022""","Eligible for Free or Reduced-Price Meals","*","*"
"Andover School District","=""0010011""","Eligible for Free or Reduced-Price Meals","*","*"
"Ansonia School District","=""0020011""","Eligible for Free or Reduced-Price Meals",144,8.9
"Ashford School District","=""0030011""","Eligible for Free or Reduced-Price Meals","*","*"
"Avon School District","=""0040011""","Eligible for Free or Reduced-Price Meals",24,11.8
"Barkhamsted School District","=""0050011""","Eligible for Free or Reduced-Price Meals","*","*"
"Berlin School District","=""0070011""","Eligible for Free or Reduced-Price Meals",56,12.5
"Bethany School District","=""0080011""","Eligible for Free or Reduced-Price Meals","N/A","N/A"
"Bethel School District","=""0090011""","Eligible for Free or Reduced-Price Meals",71,11.7
"Bloomfield School District","=""0110011""","Eligible for Free or Reduced-Price Meals",183,16.2
"Bolton School District","=""0120011""","Eligible for Free or Reduced-Price Meals",11,8.7
"Bozrah School District","=""0130011""","Eligible for Free or Reduced-Price Meals","*","*"
"Branford School District","=""0140011""","Eligible for Free or Reduced-Price Meals",76,9.5
"Bridgeport School District","=""0150011""","Eligible for Free or Reduced-Price Meals",3374,15.9
"Bristol School District","=""0170011""","Eligible for Free or Reduced-Price Meals",524,13.6
"Brookfield School District","=""0180011""","Eligible for Free or Reduced-Price Meals",17,6.9
"Brooklyn School District","=""0190011""","Eligible for Free or Reduced-Price Meals",20,7.5
"Canaan School District","=""0210011""","Eligible for Free or Reduced-Price Meals","*","*"
"Canterbury School District","=""0220011""","Eligible for Free or Reduced-Price Meals","*","*"
"Canton School District","=""0230011""","Eligible for Free or Reduced-Price Meals",11,6.5
"Chaplin School District","=""0240011""","Eligible for Free or Reduced-Price Meals","*","*"
"Cheshire School District","=""0250011""","Eligible for Free or Reduced-Price Meals",31,8.6
"Chester School District","=""0260011""","Eligible for Free or Reduced-Price Meals","N/A","N/A"
"Clinton School District","=""0270011""","Eligible for Free or Reduced-Price Meals",45,10.3
"Colchester School District","=""0280011""","Eligible for Free or Reduced-Price Meals",34,7.3
"Colebrook School District","=""0290011""","Eligible for Free or Reduced-Price Meals","*","*"
"Columbia School District","=""0300011""","Eligible for Free or Reduced-Price Meals","*","*"
"Cornwall School District","=""0310011""","Eligible for Free or Reduced-Price Meals","N/A","N/A"
"Coventry School District","=""0320011""","Eligible for Free or Reduced-Price Meals",34,10.9
"Cromwell School District","=""0330011""","Eligible for Free or Reduced-Price Meals",64,17.2
"Danbury School District","=""0340011""","Eligible for Free or Reduced-Price Meals",656,10.8
"Darien School District","=""0350011""","Eligible for Free or Reduced-Price Meals","*","*"
"Deep River School District","=""0360011""","Eligible for Free or Reduced-Price Meals","*","*"
"Derby School District","=""0370011""","Eligible for Free or Reduced-Price Meals",142,15.8

